Closest Location,Date,No. of Cases,precipIntensity,precipIntensityMax,precipIntensityMaxTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,humidity
Chai Chee,10/06/2019,317.0,0.0065,0.0312,1558969200,91.49,1558933560,81.02,1558983360,0.81
Chai Chee,11/01/2019,138.0,0.0045,0.015,1545987060,89.62,1545974820,78.15,1546036380,0.78
Chai Chee,12/04/2019,12.0,0.0044,0.0247,1553849220,90.12,1553840340,79.34,1553898120,0.82
Chai Chee,13/05/2019,97.0,0.0049,0.0211,1556536140,92.73,1556514540,80.91,1556567820,0.81
Chai Chee,14/01/2019,146.0,0.0089,0.035,1546247220,87.99,1546232700,77.73,1546291620,0.84
Chai Chee,14/06/2019,347.0,0.0148,0.0887,1559250000,89.25,1559278860,79.3,1559342460,0.82
Chai Chee,16/04/2019,17.0,0.0145,0.0482,1554143160,90.31,1554183420,76.24,1554249600,0.79
Chai Chee,17/05/2019,145.0,0.0056,0.0332,1556874060,92.41,1556859480,81.66,1556913180,0.8
Chai Chee,18/01/2019,157.0,0.0015,0.0081,1546549740,90.54,1546584720,79.22,1546638420,0.75
Chai Chee,18/04/2019,18.0,0.0081,0.0407,1554357840,90.56,1554353760,78.43,1554408420,0.8
Chai Chee,19/06/2019,338.0,0.0064,0.026,1559682060,90.27,1559710800,79.8,1559773320,0.82
Chai Chee,21/01/2019,169.0,0.0008,0.0024,1546851420,88.84,1546839180,79.4,1546891320,0.81
Chai Chee,21/06/2019,311.0,0.0138,0.0537,1559865360,85.91,1559893560,79.58,1559937180,0.87
Chai Chee,22/05/2019,173.0,0.0232,0.0558,1557284760,88.26,1557304320,80.2,1557346740,0.84
Chai Chee,23/04/2019,18.0,0.012,0.0421,1554797400,91.02,1554786180,79.67,1554842220,0.82
Chai Chee,24/05/2019,161.0,0.006,0.0276,1557427860,91.63,1557464760,81.26,1557518880,0.78
Chai Chee,25/01/2019,202.0,0.0003,0.0016,1547153520,88.96,1547183400,77.05,1547247000,0.8
Chai Chee,26/04/2019,22.0,0.0036,0.0101,1555013100,91.06,1555045800,80.3,1555099440,0.8
Chai Chee,26/06/2019,158.0,0.0058,0.0369,1560268800,88.17,1560319320,81.81,1560366060,0.85
Chai Chee,27/05/2019,160.0,0.0068,0.0219,1557737580,90.71,1557723780,80.44,1557776640,0.8
Chai Chee,28/01/2019,216.0,0.0197,0.0661,1547445660,87.33,1547440980,76.87,1547505660,0.84
Chai Chee,28/06/2019,156.0,0.0037,0.02,1560460080,89.31,1560494580,80.92,1560545580,0.83
Chai Chee,29/01/2019,213.0,0.0028,0.0243,1547532000,88.77,1547537040,78.01,1547592300,0.8
Chai Chee,29/04/2019,19.0,0.0018,0.0162,1555308000,92.85,1555314060,80.17,1555358100,0.78
Choa Chu Kang (Central),02/07/2019,114.0,0.0152,0.0818,1560815880,84.9,1560834000,79.08,1560880800,0.9
Choa Chu Kang (Central),03/04/2019,9.0,0.0001,0.0004,1553077980,91.85,1553058420,77.34,1553118360,0.78
Choa Chu Kang (Central),03/06/2019,9.0,0.0002,0.0005,1558348020,90.36,1558336500,79.45,1558382220,0.82
Choa Chu Kang (Central),04/01/2019,3.0,0.0106,0.0463,1545373440,89.18,1545368040,76.63,1545428160,0.87
Choa Chu Kang (Central),05/04/2019,11.0,0.0028,0.0084,1553245620,91.24,1553240220,77.31,1553290200,0.82
Choa Chu Kang (Central),07/01/2019,3.0,0.0008,0.0043,1545641580,90.11,1545634980,76.19,1545681420,0.81
Choa Chu Kang (Central),07/06/2019,28.0,0.0015,0.0097,1558677540,91.6,1558682160,78.51,1558727700,0.81
Choa Chu Kang (Central),09/04/2019,1.0,0.006,0.0136,1553568840,91.68,1553584800,76.83,1553638860,0.81
Choa Chu Kang (Central),10/05/2019,3.0,0.0419,0.0997,1556269680,87.96,1556250960,77.17,1556307960,0.87
Choa Chu Kang (Central),10/06/2019,30.0,0.0089,0.0395,1558947480,91.62,1558933200,79.65,1558986900,0.83
Choa Chu Kang (Central),12/04/2019,2.0,0.0056,0.0362,1553847300,90.56,1553836080,77.46,1553898960,0.84
Choa Chu Kang (Central),13/05/2019,3.0,0.003,0.0103,1556535420,93.32,1556523780,79.88,1556567820,0.82
Choa Chu Kang (Central),14/06/2019,47.0,0.0143,0.0552,1559250060,88.44,1559278320,78.86,1559332980,0.85
Choa Chu Kang (Central),17/05/2019,9.0,0.0036,0.0226,1556873940,92.76,1556859240,80.5,1556913300,0.82
Choa Chu Kang (Central),19/06/2019,57.0,0.0045,0.0163,1559682000,89.3,1559709540,78.62,1559774580,0.84
Choa Chu Kang (Central),21/06/2019,81.0,0.009,0.0524,1559865420,86.23,1559894040,78.39,1559937300,0.88
Choa Chu Kang (Central),22/05/2019,11.0,0.0103,0.0276,1557265800,88.63,1557304020,79.43,1557347880,0.85
Choa Chu Kang (Central),24/05/2019,15.0,0.005,0.0205,1557423660,91.63,1557473220,80.22,1557518940,0.8
Choa Chu Kang (Central),26/04/2019,2.0,0.0037,0.0141,1555038420,92.7,1555053960,78.86,1555105380,0.82
Choa Chu Kang (Central),26/06/2019,116.0,0.0024,0.0188,1560297600,88.49,1560324240,81.33,1560369780,0.87
Choa Chu Kang (Central),27/05/2019,17.0,0.0089,0.0365,1557737760,90.19,1557723660,79.78,1557776940,0.83
Choa Chu Kang (Central),28/06/2019,112.0,0.0033,0.0214,1560460140,88.93,1560495480,79.24,1560545820,0.85
Choa Chu Kang (Central),29/01/2019,4.0,0.0043,0.0379,1547532000,89.1,1547537280,75.79,1547592840,0.83
Choa Chu Kang (Central),29/04/2019,1.0,0.0049,0.0439,1555308000,92.48,1555313820,78.78,1555358340,0.81
Choa Chu Kang (South),02/07/2019,39.0,0.0152,0.0824,1560815880,84.87,1560834000,79.07,1560880800,0.9
Choa Chu Kang (South),03/06/2019,6.0,0.0002,0.0005,1558347960,90.42,1558336620,79.42,1558382220,0.82
Choa Chu Kang (South),07/06/2019,25.0,0.0015,0.0099,1558677540,91.65,1558682160,78.49,1558727700,0.81
Choa Chu Kang (South),10/06/2019,27.0,0.0089,0.0402,1558947480,91.67,1558933200,79.64,1558986900,0.83
Choa Chu Kang (South),14/06/2019,30.0,0.0143,0.0542,1559250060,88.46,1559278260,78.84,1559332980,0.85
Choa Chu Kang (South),19/06/2019,59.0,0.0046,0.0159,1559682000,89.32,1559709420,78.63,1559774520,0.84
Choa Chu Kang (South),21/06/2019,75.0,0.0088,0.0514,1559865420,86.27,1559894040,78.38,1559937300,0.88
Choa Chu Kang (South),22/05/2019,1.0,0.0101,0.0272,1557284640,88.65,1557304020,79.42,1557347880,0.85
Choa Chu Kang (South),24/05/2019,4.0,0.005,0.0204,1557423660,91.66,1557473340,80.21,1557518940,0.8
Choa Chu Kang (South),25/01/2019,1.0,0.0002,0.0008,1547153940,89.21,1547182920,74.86,1547246460,0.82
Choa Chu Kang (South),26/06/2019,28.0,0.0024,0.0183,1560297600,88.54,1560324240,81.33,1560369840,0.87
Choa Chu Kang (South),27/05/2019,6.0,0.0089,0.037,1557737700,90.21,1557723660,79.77,1557776940,0.83
Choa Chu Kang (South),28/01/2019,2.0,0.0174,0.0756,1547445600,87.18,1547437260,74.95,1547505720,0.87
Choa Chu Kang (South),28/06/2019,29.0,0.0032,0.0211,1560460140,88.95,1560495480,79.21,1560545820,0.86
Choa Chu Kang (South),29/01/2019,2.0,0.0043,0.0381,1547532000,89.17,1547537340,75.77,1547592840,0.83
Clementi,02/07/2019,5.0,0.0146,0.0497,1560812640,84.55,1560830760,79.94,1560896880,0.89
Clementi,03/06/2019,10.0,0.0001,0.0003,1558348920,90.74,1558328220,80.49,1558381980,0.81
Clementi,04/01/2019,2.0,0.0098,0.037,1545382260,89.69,1545368280,77.53,1545428880,0.86
Clementi,07/01/2019,2.0,0.0005,0.0027,1545663600,89.57,1545634680,77.03,1545681300,0.8
Clementi,11/01/2019,2.0,0.0027,0.0099,1545987420,90.0,1545982260,77.56,1546036320,0.78
Clementi,14/01/2019,6.0,0.0111,0.0462,1546249680,88.97,1546242480,77.39,1546285980,0.84
Clementi,14/06/2019,3.0,0.0141,0.0787,1559250060,89.14,1559278980,79.45,1559342340,0.83
Clementi,16/04/2019,0.0,0.0094,0.04,1554142380,90.11,1554187320,76.47,1554249600,0.8
Clementi,18/01/2019,4.0,0.0024,0.0149,1546550400,90.86,1546584660,78.81,1546640640,0.77
Clementi,19/06/2019,2.0,0.0045,0.0252,1559682000,90.19,1559710140,78.91,1559774760,0.82
