Location,No. of Cases,Date,Latitude,Longtitude,Closest Location,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bedok Reservoir Road (Blk 139),10,07/01/2019,1.3345066,103.9137344,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 140),2,07/01/2019,1.3348915,103.9131756,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 142),5,07/01/2019,1.3357141,103.9132888,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 144),3,07/01/2019,1.3351152,103.9124505,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 145),1,07/01/2019,1.3343129,103.9119974,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 146),1,07/01/2019,1.3346066,103.9118161,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 147),3,07/01/2019,1.3349004,103.9116349,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 148),2,07/01/2019,1.3353932,103.9118388,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 149),1,07/01/2019,1.3356275,103.9124505,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 150),2,07/01/2019,1.3360666,103.9124505,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 608),1,07/01/2019,1.3318917,103.9130849,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 609),1,07/01/2019,1.3318329,103.9131117,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 613),1,07/01/2019,1.3319589,103.9166817,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 613A),1,07/01/2019,1.3328525,103.9174042,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 613B),1,07/01/2019,1.3331070,103.9180696,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 615),1,07/01/2019,1.3322067,103.9155772,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 622),1,07/01/2019,1.3340662,103.9167101,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 623),1,07/01/2019,1.3336266,103.9168007,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 628),1,07/01/2019,1.3349542,103.9149881,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 629),1,07/01/2019,1.3345915,103.9144444,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 631),1,07/01/2019,1.3334378,103.9149165,Chai Chee,0,0,0,0,—,—,—,—,—
Eastwood Green,4,07/01/2019,1.3222849,103.9548450,Simei,—,—,—,—,—,—,—,—,—
Eastwood Place,1,07/01/2019,1.3221148,103.9562737,Simei,—,—,—,—,—,—,—,—,—
Eastwood Road,1,07/01/2019,1.3213954,103.9560475,Simei,—,—,—,—,—,—,—,—,—
Eastwood Terrace,4,07/01/2019,1.3218063,103.9569024,Simei,—,—,—,—,—,—,—,—,—
Eastwood Way,6,07/01/2019,1.3229592,103.9573462,Simei,—,—,—,—,—,—,—,—,—
Jalan Greja,3,07/01/2019,1.3237034,103.9550755,Simei,—,—,—,—,—,—,—,—,—
Pesari Walk,1,07/01/2019,1.3245905,103.9542040,Simei,—,—,—,—,—,—,—,—,—
Taman Bedok,1,07/01/2019,1.3247113,103.9541043,Simei,—,—,—,—,—,—,—,—,—
