Location,No. of Cases,Date,Coordinates,Closest Location,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
"Tampines Street 82 (Blk 842H), Singapore",1,15-01-18,"1.3509299, 103.9367410",Simei ,1,0.5,1,1,—,—,—,—,—
"Yishun Avenue 7, Singapore",1,19-01-18,"1.4386374, 103.8334056",Yishun ,2.5,1.5,1.5,2.5,—,—,—,—,—
"Yishun Avenue 7 (Blk 172), Singapore",2,19-01-18,"1.4368965, 103.8317924",Yishun ,2.5,1.5,1.5,2.5,—,—,—,—,—
"Yishun Avenue 7 (Blk 173), Singapore",5,19-01-18,"1.4370075, 103.8309346",Yishun ,2.5,1.5,1.5,2.5,—,—,—,—,—
"Yishun Avenue 7 (Blk 174), Singapore",2,19-01-18,"1.4374434, 103.8318144",Yishun ,2.5,1.5,1.5,2.5,—,—,—,—,—
"Yishun Ring Road (Blk 165), Singapore",1,19-01-18,"1.4357604, 103.8316812",Yishun ,2.5,1.5,1.5,2.5,—,—,—,—,—
"Yishun Ring Road (Blk 166), Singapore",12,19-01-18,"1.4363075, 103.8316116",Yishun ,2.5,1.5,1.5,2.5,—,—,—,—,—
"Yishun Street 11 (Blk 122), Singapore",1,19-01-18,"1.4349397, 103.8309110",Yishun ,2.5,1.5,1.5,2.5,—,—,—,—,—
"Yishun Street 11 (Blk 124), Singapore",3,19-01-18,"1.4346195, 103.8309213",Yishun ,2.5,1.5,1.5,2.5,—,—,—,—,—
"Yishun Street 11 (Blk 132), Singapore",1,19-01-18,"1.4328560, 103.8312980",Yishun ,2.5,1.5,1.5,2.5,—,—,—,—,—
"Jalan Gajus, Singapore",1,19-01-18,"1.3043170, 103.8999760",Marine Parade ,17.8,11,15.4,17.6,—,—,—,—,—
"Seraya Lane, Singapore",2,19-01-18,"1.3067327, 103.8995011",Tanjong Katong ,30,19.6,26.8,29,—,—,—,—,—
"Seraya Road, Singapore",1,19-01-18,"1.3058160, 103.9003082",Tanjong Katong ,30,19.6,26.8,29,—,—,—,—,—
"Toh Tuck Road (The Beverly), Singapore",4,19-01-18,"1.3393409, 103.7673540",Clementi ,33,20.2,31.6,33,26.4,33.6,23.3,5,38.9
"Jalan Leban, Singapore",3,19-01-18,"1.3732041, 103.8307393",Upper Thomson ,49.4,24.8,37.6,49,—,—,—,—,—
"Tampines Street 44 (Blk 468), Singapore",1,19-01-18,"1.3604550, 103.9550780",Pasir Ris (Central) ,2.8,1.4,1.6,1.8,—,—,—,—,—
"Tampines Street 44 (Blk 469), Singapore",1,19-01-18,"1.3603414, 103.9546897",Pasir Ris (Central) ,2.8,1.4,1.6,1.8,—,—,—,—,—
"Tampines Street 44 (Blk 472), Singapore",1,19-01-18,"1.3598359, 103.9535112",Pasir Ris (Central) ,2.8,1.4,1.6,1.8,—,—,—,—,—
"Bukit Batok Street 21 (Blk 206), Singapore",1,19-01-18,"1.3466780, 103.7493299",Jurong (North) ,3.8,1.6,2.2,3.6,—,—,—,—,—
"Bukit Batok Street 21 (Blk 208), Singapore",1,19-01-18,"1.3458934, 103.7488545",Jurong (North) ,3.8,1.6,2.2,3.6,—,—,—,—,—
