Location,No. of Cases,Date
Yishun Avenue 5 (Blk 703),2,14/01/2019
Yishun Avenue 5 (Blk 706),1,14/01/2019
Yishun Avenue 5 (Blk 734),1,14/01/2019
Yishun Street 72 (Blk 738),1,14/01/2019
Yishun Street 72 (Blk 745),1,14/01/2019
Jalan Kuang,1,14/01/2019
Jalan Pergam,2,14/01/2019
Jalan Pelatok,1,14/01/2019
Upper Changi Road East,2,14/01/2019
Simei Street 4 (Blk 222),1,14/01/2019
Simei Street 4 (Blk 223),2,14/01/2019
Simei Street 4 (Simei Green Condominium),2,14/01/2019
Sunbird Circle,1,14/01/2019
Hougang Avenue 8 (Blk 642),1,14/01/2019
Hougang Avenue 8 (Blk 643),2,14/01/2019
Hougang Avenue 8 (Blk 652),1,14/01/2019
Jalan Eunos (Eunos Mansions),3,14/01/2019
Jalan Tenaga (Blk 647),1,14/01/2019
Jalan Tenaga (Blk 648),1,14/01/2019
Tampines Street 32 (Blk 301),1,14/01/2019
Tampines Street 32 (Blk 306),1,14/01/2019
Tampines Street 33 (Blk 312),1,14/01/2019
Tampines Street 33 (Blk 316),2,14/01/2019
Woodlands Avenue 6 (Blk 759),1,14/01/2019
Woodlands Avenue 6 (Blk 763),1,14/01/2019
Woodlands Circle (Blk 734),1,14/01/2019
Woodlands Circle (Blk 741),1,14/01/2019
Woodlands Circle (Blk 742),1,14/01/2019
Bukit Batok Street 23,3,14/01/2019
MacPherson Road,1,14/01/2019
Siak Kew Avenue,2,14/01/2019
Siang Kuang Avenue,1,14/01/2019
Mergui Road (Mergui Mansions),3,14/01/2019
Mergui Road (Pristine Heights),1,14/01/2019
Ang Mo Kio Avenue 3 (Blk 424),1,14/01/2019
Ang Mo Kio Avenue 3 (Blk 425),2,14/01/2019
Bright Hill Drive (Thomson Three),1,14/01/2019
Lorong Puntong (Country Esquire),1,14/01/2019
Sin Ming Avenue (Blk 454),1,14/01/2019
Buangkok Crescent (Blk 979A),1,14/01/2019
Buangkok Green (Blk 987B),1,14/01/2019
Cashew Road (Cashew Park Condominium),2,14/01/2019
Chestnut Gardens,1,14/01/2019
Casuarina Road,3,14/01/2019
Circuit Road (Blk 57),1,14/01/2019
Pipit Road (Blk 55),2,14/01/2019
Edgedale Plains (Blk 109D),1,14/01/2019
Edgedale Plains (Blk 121A),1,14/01/2019
